DateTime,Close,Open,Low,High,Volume
2021-12-29,78800,80200,78500,80200,19794795
2021-12-28,80300,80200,79700,80400,18226325
2021-12-27,80200,80600,79800,80600,10783368
2021-12-24,80500,80200,80200,80800,12086380
2021-12-23,79900,79800,79300,80000,13577498
2021-12-22,79400,78900,78800,79400,17105892
2021-12-21,78100,77900,77500,78300,14245298
2021-12-20,77100,77600,76800,77800,11264375
2021-12-17,78000,76800,76800,78000,13108479
2021-12-16,77800,78500,77400,78500,11996128
2021-12-15,77600,76400,76300,77600,9584939
2021-12-14,77000,76500,76200,77200,10976660
2021-12-13,76800,77200,76500,78300,15038750
2021-12-10,76900,77400,76800,77600,9155219
2021-12-09,78200,77400,77000,78200,21604528
2021-12-08,77400,78300,77100,78600,21558340
2021-12-07,77400,76100,75600,77700,19232453
2021-12-06,76300,75100,74900,76700,16391250
2021-12-03,75600,75600,74100,76000,18330240
2021-12-02,75800,73900,73800,75800,23652940
2021-12-01,74400,72000,71600,74800,21954856
2021-11-30,71300,73200,70500,73900,30364841
2021-11-29,72300,71700,71400,73000,16682559
2021-11-26,72300,73500,72000,74100,13002242
2021-11-25,73700,75100,73600,75100,12559258
2021-11-24,74800,76000,74100,76200,15652305
2021-11-23,75300,76000,74500,76000,22029195
2021-11-22,74900,73300,73000,75200,27506623
2021-11-19,71200,70400,70100,71400,11954728
2021-11-18,70200,70700,70200,71000,10144957
2021-11-17,70700,71300,70600,71600,11027606
2021-11-16,71300,71500,71300,72000,10919239
2021-11-15,71400,71700,70900,71900,12420710
2021-11-12,70600,70200,69900,70900,10087450
2021-11-11,69900,69900,69600,70000,11489122
2021-11-10,70200,70300,70200,70900,9422009
2021-11-09,70500,70300,70100,71000,11159589
2021-11-08,70600,70400,69800,70600,11121981
2021-11-05,70200,71600,70200,71600,12667743
2021-11-04,70600,71200,70500,71600,11818987
2021-11-03,70400,71700,70100,71700,12770428
2021-11-02,71500,70800,70700,72200,16812570
2021-11-01,69900,70200,69900,70600,11503729
2021-10-29,69800,71200,69700,71600,17016151
2021-10-28,70700,69500,69500,72200,20644902
2021-10-27,70100,71000,70000,71000,10295316
2021-10-26,71100,70600,70400,71500,10528252
2021-10-25,70200,69900,69500,70600,10029621
2021-10-22,70400,70000,70000,70700,8395448
2021-10-21,70200,70300,70000,70600,10891094
2021-10-20,70300,70700,70200,71000,10151638
2021-10-19,70600,70800,70400,71000,9507991
2021-10-18,70200,70200,69200,70300,13486391
2021-10-15,70100,70200,70000,71000,18051612
2021-10-14,69400,69000,68800,69800,19520641
2021-10-13,68800,68700,68300,69600,24172015
2021-10-12,69000,70700,68700,70900,31001484
2021-10-08,71500,72300,71500,72400,14043287
2021-10-07,71600,71600,71300,72100,13683532
2021-10-06,71300,72600,71200,72800,18956962
2021-10-05,72200,73000,71400,73000,24013921
2021-10-01,73200,73900,72900,74000,15803395
2021-09-30,74100,74300,73700,74800,19919361
2021-09-29,74100,74800,73800,75300,23992458
2021-09-28,76300,77700,76200,77800,15406382
2021-09-27,77700,77300,77000,77700,11699798
2021-09-24,77300,77600,77100,77700,12247274
2021-09-23,77400,77500,76800,77600,17055590
2021-09-17,77200,76300,75900,77200,16289502
2021-09-16,76100,77300,76100,77400,13067622
2021-09-15,77000,77400,76400,77400,12829128
2021-09-14,76600,77100,76600,77700,18167057
2021-09-13,76300,75200,75100,76300,11397775
2021-09-10,75300,75300,74800,75600,10103212
2021-09-09,75300,76400,75000,76600,17600770
2021-09-08,76300,76000,75600,76400,11798147
2021-09-07,76100,77100,75900,77100,13239401
2021-09-06,77300,76800,76600,77600,12861180
2021-09-03,76600,76400,76000,76700,12096419
2021-09-02,76000,76800,75700,76800,15347486
2021-09-01,76800,76700,75900,77100,16114775
2021-08-31,76700,74900,74300,76700,24630370
2021-08-30,74600,75400,74200,75500,12686999
2021-08-27,74300,74300,73800,75000,15172748
2021-08-26,74600,76100,74600,76200,16671494
2021-08-25,75700,76200,74900,76600,22319664
2021-08-24,75600,73900,73900,75700,21016913
2021-08-23,73300,73300,73000,74000,19384648
2021-08-20,72700,73500,72500,73900,22364803
2021-08-19,73100,73500,73100,74400,22166298
2021-08-18,73900,73900,73100,74600,29192631
2021-08-17,74200,74000,74000,75100,30944847
2021-08-13,74400,75800,74100,76000,61270643
2021-08-12,77000,77100,76900,78200,42365223
2021-08-11,78500,79600,78500,79800,30241137
2021-08-10,80200,82300,80100,82400,20362639
2021-08-09,81500,81500,80900,82300,15522581
2021-08-06,81500,81900,81300,82500,13342623
2021-08-05,82100,83300,82000,83300,18485469
2021-08-04,82900,82200,81800,83100,25642368
2021-08-03,81400,79400,79300,81400,24339360
2021-08-02,79300,79200,78700,79500,11739124
2021-07-30,78500,78900,78500,78900,13823411
2021-07-29,79000,78800,78800,79400,14360453
2021-07-28,79200,78300,78100,79200,12743417
2021-07-27,78500,79200,78500,79400,11427693
2021-07-26,78800,79400,78800,79500,10040975
2021-07-23,79300,79700,79200,79900,9098910
